experiment,model,dataset,variant,first,second,abs_diff,threshold
device: CPU vs T4,fuse_concat,clintox,seed4,0.951543036696218,0.9255424007780646,0.02600063591815338,0.02
device: CPU vs T4,fuse_concat,bace,deepchem,0.7916666666666666,0.7831521739130434,0.00851449275362326,0.02
device: CPU vs T4,fuse_concat,bace,seed0,0.8063558582154705,0.7682905535184215,0.03806530469704905,0.02
device: CPU vs T4,fuse_concat,bace,seed1,0.8793511937306361,0.875888463641334,0.0034627300893020907,0.02
device: CPU vs T4,fuse_concat,bace,seed2,0.86995597945708,0.8921496698459281,0.02219369038884811,0.02
device: CPU vs T4,fuse_concat,bace,seed3,0.9002597402597402,0.9090909090909092,0.008831168831168967,0.02
device: CPU vs T4,fuse_concat,bace,seed4,0.7664069264069264,0.7669264069264069,0.0005194805194804752,0.02
device: CPU vs T4,fuse_concat,sider,deepchem,0.5537008718741186,0.5727900493405665,0.019089177466447893,0.02
device: CPU vs T4,fuse_concat,sider,seed0,0.5812852068386988,0.558591875908286,0.022693330930412814,0.02
device: CPU vs T4,fuse_concat,sider,seed1,0.5929367521305025,0.5641948721600859,0.02874187997041655,0.02
device: CPU vs T4,fuse_concat,sider,seed2,0.5691150300476294,0.5982239533963633,0.02910892334873383,0.02
device: CPU vs T4,fuse_concat,sider,seed3,0.5830626352736913,0.5521737855592085,0.030888849714482802,0.02
device: CPU vs T4,fuse_concat,sider,seed4,0.5469808189499837,0.529124529631897,0.017856289318086693,0.02
device: CPU vs T4,fuse_concat,esol,deepchem,0.8708409246643617,0.9027242033118696,0.03188327864750795,0.1
device: CPU vs T4,fuse_concat,esol,seed0,0.8614632900093431,0.7300891772604504,0.13137411274889266,0.1
device: CPU vs T4,fuse_concat,esol,seed1,0.8155844108075996,0.8690642641625113,0.05347985335491168,0.1
device: CPU vs T4,fuse_concat,esol,seed2,0.8426281468422265,0.775075298619507,0.06755284822271956,0.1
device: CPU vs T4,fuse_concat,esol,seed3,0.7600210455239887,0.7650752466432067,0.005054201119217949,0.1
device: CPU vs T4,fuse_concat,esol,seed4,1.0164518476913138,1.0673002509441432,0.050848403252829355,0.1
