tag,dataset,n_splits,task_type,coverage,coverage_pos,coverage_neg,mean_set_size,pct_ambiguous,pct_empty,n_tasks_scored,n,coverage_gap,mean_width,width_spread
rf,esol,5,regression,0.8771929824561404,,,,,,,114.0,-2.2807017543859587,5.924776736366674,1.0658141036401502e-15
rf,lipophilicity,5,regression,0.8814285714285715,,,,,,,420.0,-1.8571428571428612,3.112302492017286,3.552713678800501e-16
gnn,tox21,5,classification,0.8996626661877952,0.7234745262831337,0.910434283402197,1.2169989862839155,22.103594662180797,0.40369603378925156,12.0,725.0,-0.03373338122047187,,
gnn,bbbp,5,classification,0.9209756097560975,0.9284945488449653,0.8845101505578169,1.255609756097561,25.560975609756095,0.0,1.0,205.0,2.0975609756097526,,
gnn,clintox,5,classification,0.9216216216216215,0.8197569337973297,0.8217431305875241,1.0966216216216216,9.864864864864863,0.20270270270270271,2.0,148.0,2.162162162162147,,
gnn,esol,5,regression,0.9368421052631579,,,,,,,114.0,3.6842105263157947,3.951759195327759,0.0
gnn,lipophilicity,5,regression,0.8761904761904763,,,,,,,420.0,-2.3809523809523654,2.4315493583679197,0.0
trf,tox21,5,classification,0.9103093694088003,0.09707392154957338,0.9678966025421536,0.9933857595178399,3.0983202027096484,3.7597442509256687,12.0,725.0,1.030936940880025,,
trf,bbbp,5,classification,0.8507317073170733,0.8253800694052771,0.9612787411198533,1.3151219512195123,31.51219512195122,0.0,1.0,205.0,-4.926829268292678,,
trf,clintox,5,classification,0.9263513513513514,0.6851630292821078,0.6825096627670998,0.9425675675675675,0.0,5.743243243243244,2.0,148.0,2.635135135135144,,
trf,esol,5,regression,0.9052631578947368,,,,,,,114.0,0.5263157894736707,4.896983909606933,0.0
trf,lipophilicity,5,regression,0.8961904761904762,,,,,,,420.0,-0.3809523809523796,3.568336296081543,0.0
hybrid,tox21,5,classification,0.901795518403609,0.7485072033989615,0.9132832957583819,1.1871013087673177,18.847060469084678,0.13692959235290247,12.0,725.0,0.17955184036090088,,
hybrid,bbbp,5,classification,0.9092682926829267,0.9022781439939329,0.9337810054890492,1.2302439024390244,23.024390243902438,0.0,1.0,205.0,0.9268292682926784,,
hybrid,clintox,5,classification,0.9094594594594595,0.8934199836803666,0.8868566005779964,0.9939189189189189,1.8243243243243241,2.4324324324324325,2.0,148.0,0.9459459459459509,,
hybrid,esol,5,regression,0.9350877192982455,,,,,,,114.0,3.5087719298245474,4.059229230880737,0.0
hybrid,lipophilicity,5,regression,0.8904761904761905,,,,,,,420.0,-0.952380952380949,2.328780937194824,0.0
ens,tox21,5,classification,0.8981601235932372,0.7239166109735002,0.9101326355627274,1.1728203689416143,17.73943384340411,0.45739694924266594,12.0,725.0,-0.18398764067627837,,
ens,bbbp,5,classification,0.9073170731707316,0.9264195769820093,0.840082863181175,1.1531707317073172,15.317073170731708,0.0,1.0,205.0,0.731707317073159,,
ens,clintox,5,classification,0.9263513513513514,0.6851630292821078,0.6825096627670998,0.9425675675675675,0.0,5.743243243243244,2.0,148.0,2.635135135135144,,
ens,esol,5,regression,0.9456140350877194,,,,,,,114.0,4.561403508771932,4.152983140945435,0.0
ens,lipophilicity,5,regression,0.8914285714285715,,,,,,,420.0,-0.8571428571428612,2.3409047603607176,0.0
