dataset,model,n_splits,auc_mean,auc_std,auc_ci95,ap_mean,ap_std,ap_ci95,f1_mean,f1_std,f1_ci95,bal_acc_mean,bal_acc_std,bal_acc_ci95,rmse_mean,rmse_std,rmse_ci95,mae_mean,mae_std,mae_ci95,r2_mean,r2_std,r2_ci95
esol,rf,5,,,,,,,,,,,,,1.6576778457258268,0.35524154902872906,0.4410199287440243,1.2785819354957522,0.2988820033752067,0.37105152871840713,0.5226790372969105,0.0760177220764371,0.09437333686077941
esol,gnn,5,,,,,,,,,,,,,1.0115527820240087,0.10516824155399086,0.1305626848072449,0.7608787903970045,0.07850128020949937,0.09745658721217956,0.8141856958692802,0.05012214660639424,0.06222488778490791
esol,trf,5,,,,,,,,,,,,,1.4957258857656477,0.16090106430676515,0.1997530303237939,1.1966905832970227,0.16923717768493926,0.21010202282789747,0.6016144684475807,0.06835235844795207,0.08485705665517174
esol,hybrid,5,,,,,,,,,,,,,0.987184645112859,0.06428678577121305,0.07980979071147411,0.7372631375021024,0.05273027361607037,0.06546278602937736,0.823026096011793,0.04294794271548679,0.05331836517398655
esol,ens,5,,,,,,,,,,,,,0.9777867858861565,0.07925305010620726,0.0983898831827227,0.7323497145225054,0.057494911086069085,0.07137791640546974,0.8264748580704747,0.04333350276035649,0.05379702445238426
lipophilicity,rf,5,,,,,,,,,,,,,1.0043617316340132,0.11710746523521169,0.14538481243152554,0.7868854770349716,0.08630831875209569,0.10714875185669087,0.37273943804143606,0.057784365705224314,0.07173726416719269
lipophilicity,gnn,5,,,,,,,,,,,,,0.8052015089680863,0.1127127092423493,0.13992887694166312,0.6074952471126763,0.09146238328434649,0.11354734227768783,0.5964315822303001,0.061086328885246836,0.07583653569201973
lipophilicity,trf,5,,,,,,,,,,,,,1.0752965260096774,0.06745959655230721,0.08374872406097163,0.8577448610078917,0.057158469679029225,0.07096023619389275,0.27572089431784275,0.06192164502515251,0.07687355139445419
lipophilicity,hybrid,5,,,,,,,,,,,,,0.7603232643061844,0.09946239018824311,0.12347907037749652,0.5830337707499378,0.0771828280065429,0.09581977502568265,0.6394114493108433,0.05461175645704294,0.06779858101374087
lipophilicity,ens,5,,,,,,,,,,,,,0.7602458931534322,0.10029930155305117,0.12451806649572048,0.5827675155315233,0.07813801976205115,0.09700561210218143,0.6395362914265903,0.05496307488428746,0.06823473052433011
tox21,rf,5,0.8052811764572994,0.007898905137383104,0.00980621380119807,0.38031462028767204,0.02600083365650614,0.03227912342413026,0.3322789248594554,0.013955068670774293,0.01732472850551927,0.7082565895155162,0.018216798288177998,0.022615516414007084,,,,,,,,,
tox21,gnn,5,0.7997167017316967,0.020506368984364556,0.025457938163510666,0.33373602318846535,0.023880403223265647,0.02964668338120399,0.31248540425207516,0.021687566217195007,0.026924353116603312,0.7156743104209476,0.015144724285913904,0.01880164424370723,,,,,,,,,
tox21,trf,5,0.7699019307790502,0.012202005460048326,0.015148361989856961,0.2777180966795194,0.020947519430184535,0.026005610975750278,0.2546769918605526,0.011561229961002156,0.014352861672670235,0.6849631204688269,0.014180917278490942,0.017605111633997517,,,,,,,,,
tox21,hybrid,5,0.8221923398605469,0.014035941397902764,0.017425129160941053,0.3922242852732632,0.03140897727759673,0.03899314412619046,0.32993798961811427,0.014108778086849637,0.01751555335669498,0.7365475147784052,0.013561400696402416,0.01683600351689963,,,,,,,,,
tox21,ens,5,0.8222846822621254,0.019263296684581183,0.02391470748406726,0.39098337783135284,0.030941548565048924,0.038412847767095165,0.33451208017613254,0.031420709713191164,0.03900770953365476,0.7326332483037714,0.013258968159319385,0.016460544125060737,,,,,,,,,
