tag,dataset,band,task_type,n_band,coverage,coverage_pos,coverage_neg,mean_set_size,pct_ambiguous,pct_empty,n_tasks_scored,n,coverage_gap
attentivefp,tox21,0.7-1.0,classification,113.83333333333333,0.9297251462493499,0.834681869056869,0.9349740172301352,1.2302301259975665,23.023012599756665,0.0,12.0,108.16666666666667,2.9725146249349876
chemprop,tox21,0.0-0.3,classification,73.66666666666667,0.8889047026125935,0.10977854991012886,0.9500735721028923,0.9811634059421349,2.284394384990337,4.168053790776857,12.0,68.16666666666667,-1.1095297387406475
chemprop,tox21,0.3-0.4,classification,161.0,0.8899892192823821,0.1245158355298235,0.9476150037143586,0.9778225864644146,2.323350483930283,4.541091837488825,12.0,146.83333333333334,-1.0010780717617962
chemprop,tox21,0.4-0.5,classification,179.33333333333334,0.9069595836807709,0.15697213541567182,0.9624367921178937,0.9885825097232775,2.508606266038293,3.650355293710543,12.0,162.0,0.6959583680770862
chemprop,tox21,0.5-0.7,classification,255.16666666666666,0.9050285661336205,0.1715542053307576,0.9612801498012375,0.9821513436929491,2.5479607918088814,4.332826422513981,12.0,238.16666666666666,0.5028566133620416
chemprop,tox21,0.7-1.0,classification,113.83333333333333,0.9259247505056583,0.14254786494369828,0.9713338526033568,0.9811051597745778,1.3812417820909575,3.270725804633184,12.0,108.16666666666667,2.592475050565824
fuse_concat_gpu,tox21,0.0-0.3,classification,73.66666666666667,0.8942891658368861,0.5754760164299638,0.9141799745670776,1.274160175801688,27.839743187702002,0.42372560753320543,12.0,68.16666666666667,-0.5710834163113816
fuse_concat_gpu,tox21,0.3-0.4,classification,161.0,0.8825877628816912,0.6866966481778537,0.8935324262345716,1.2535781513753401,26.06628653782259,0.7084714002885701,12.0,146.83333333333334,-1.7412237118308838
fuse_concat_gpu,tox21,0.4-0.5,classification,179.33333333333334,0.8916843743842097,0.7300202117068566,0.9001401544233754,1.2569453807940523,26.277005443872245,0.5824673644670206,12.0,162.0,-0.8315625615790339
fuse_concat_gpu,tox21,0.5-0.7,classification,255.16666666666666,0.8952475892786534,0.8193853705341064,0.8997747309033443,1.2460598509244527,25.204831135335212,0.5988460428899565,12.0,238.16666666666666,-0.4752410721346507
fuse_concat_gpu,tox21,0.7-1.0,classification,113.83333333333333,0.9236611473781204,0.742504447712781,0.9316369433530651,1.2199784808759822,22.35347537096395,0.35562728336575294,12.0,108.16666666666667,2.3661147378120404
fuse_gated,tox21,0.0-0.3,classification,73.66666666666667,0.8820969238475324,0.6171025733525733,0.9030698219895243,1.2903213830831823,29.31040234958243,0.27826404126418575,12.0,68.16666666666667,-1.7903076152467605
fuse_gated,tox21,0.3-0.4,classification,161.0,0.8890638122674558,0.7028276240317403,0.897758045412406,1.2746852834297109,27.955170429834425,0.48664208686334565,12.0,146.83333333333334,-1.0936187732544198
fuse_gated,tox21,0.4-0.5,classification,179.33333333333334,0.8974501361001218,0.7285281645105371,0.9052576964287011,1.2658555735071289,27.152504389678075,0.5669470389651927,12.0,162.0,-0.2549863899878204
fuse_gated,tox21,0.5-0.7,classification,255.16666666666666,0.8996337546061715,0.8320357901068256,0.9024149907140985,1.2485580777260756,25.374576789847946,0.518769017240373,12.0,238.16666666666666,-0.03662453938285637
fuse_gated,tox21,0.7-1.0,classification,113.83333333333333,0.9224864082411598,0.7754291811583478,0.9302697418723128,1.2079687838881958,21.225299087811553,0.4284206989919779,12.0,108.16666666666667,2.2486408241159808
fuse_gated_nograph,tox21,0.0-0.3,classification,73.66666666666667,0.883940323548286,0.541756379585327,0.9102763437177931,1.197813142165894,20.345126958648553,0.5638127420591671,12.0,68.16666666666667,-1.605967645171404
fuse_gated_nograph,tox21,0.3-0.4,classification,161.0,0.8835275252472611,0.6522691043159644,0.8959339823817526,1.1979718707928873,20.985227252874513,1.188040173585803,12.0,146.83333333333334,-1.6472474752738862
fuse_gated_nograph,tox21,0.4-0.5,classification,179.33333333333334,0.8951334818416079,0.705352859532317,0.9068748896902222,1.2027050984854284,21.13053075684436,0.8600209083015207,12.0,162.0,-0.4866518158392097
fuse_gated_nograph,tox21,0.5-0.7,classification,255.16666666666666,0.8975096276323625,0.7885993235131092,0.9046377082395874,1.1765201479134315,18.442811566508656,0.790796775165524,12.0,238.16666666666666,-0.24903723676374057
fuse_gated_nograph,tox21,0.7-1.0,classification,113.83333333333333,0.9224242210952016,0.739907989387156,0.9320790293285528,1.153120644759293,16.05243690710027,0.7403724311709522,12.0,108.16666666666667,2.242422109520163
fuse_xattn_gpu,tox21,0.0-0.3,classification,73.66666666666667,0.894329329931332,0.617781037188932,0.913022189475257,1.302554004490047,30.516093521159572,0.2606930721548662,12.0,68.16666666666667,-0.5670670068668073
fuse_xattn_gpu,tox21,0.3-0.4,classification,161.0,0.8767799075393442,0.7260236675155928,0.883478008816922,1.270075503457113,27.678410156257616,0.670859810546323,12.0,146.83333333333334,-2.3220092460655763
fuse_xattn_gpu,tox21,0.4-0.5,classification,179.33333333333334,0.8951407510713065,0.7094441894505022,0.9040704619101234,1.2678035607358877,27.452221223863834,0.6718651502750655,12.0,162.0,-0.4859248928693489
fuse_xattn_gpu,tox21,0.5-0.7,classification,255.16666666666666,0.9003273937151736,0.8458349945000702,0.9032444644330261,1.266160207122285,27.232085964486956,0.616065252258439,12.0,238.16666666666666,0.0327393715173514
fuse_xattn_gpu,tox21,0.7-1.0,classification,113.83333333333333,0.9289612064550186,0.800972657743491,0.9359919982266369,1.2519372018970303,25.59856556998078,0.40484538027777023,12.0,108.16666666666667,2.8961206455018527
fuse_bilinear_gpu,tox21,0.0-0.3,classification,73.66666666666667,0.8938658479892071,0.6455868996987418,0.9085681080831899,1.2687321265281026,26.919508949106554,0.0462962962962963,12.0,68.16666666666667,-0.6134152010792917
fuse_bilinear_gpu,tox21,0.3-0.4,classification,161.0,0.888858432080407,0.7068230634265147,0.8965943939903692,1.2536962627052237,25.400001813377173,0.030375542854801707,12.0,146.83333333333334,-1.1141567919592887
fuse_bilinear_gpu,tox21,0.4-0.5,classification,179.33333333333334,0.8970247836920793,0.7260051212279922,0.9053556383252817,1.2613990250565552,26.184462690840718,0.04456018518518518,12.0,162.0,-0.29752163079207605
fuse_bilinear_gpu,tox21,0.5-0.7,classification,255.16666666666666,0.9021100366016251,0.8392323908017708,0.90573546520996,1.2412172528818417,24.162453728608767,0.040728440424596446,12.0,238.16666666666666,0.21100366016251826
fuse_bilinear_gpu,tox21,0.7-1.0,classification,113.83333333333333,0.9233815817383783,0.8075991909325242,0.9310517190872126,1.2143852512506133,21.517911402364273,0.07938627730294397,12.0,108.16666666666667,2.338158173837826
fuse_proposed_gpu,tox21,0.0-0.3,classification,73.66666666666667,0.8730840667265807,0.6028640888838257,0.8909665196834844,1.2761203310476714,28.13239999773263,0.5203668929654774,12.0,68.16666666666667,-2.691593327341934
fuse_proposed_gpu,tox21,0.3-0.4,classification,161.0,0.8785187583160994,0.6862797038083416,0.8874109628022072,1.2399055972265478,24.692907665067533,0.7023479424127529,12.0,146.83333333333334,-2.148124168390069
fuse_proposed_gpu,tox21,0.4-0.5,classification,179.33333333333334,0.8884265371284291,0.7022763975826535,0.8988912247364035,1.2381093608091356,24.432283604829337,0.6213475239157941,12.0,162.0,-1.1573462871570825
fuse_proposed_gpu,tox21,0.5-0.7,classification,255.16666666666666,0.8929081576817781,0.8073146310231364,0.8981508384092672,1.227011068690769,23.280565403065385,0.57945853398853,12.0,238.16666666666666,-0.7091842318221921
fuse_proposed_gpu,tox21,0.7-1.0,classification,113.83333333333333,0.916364229062585,0.7345945335528669,0.926212358597407,1.2030411058375132,20.633736344261198,0.32962576050986203,12.0,108.16666666666667,1.6364229062585025
