model,dataset,canonical,seeded_mean,gap
fuse_gated,clintox,0.756421819066486,0.8512191278392149,0.09479730877272896
fuse_gated,bace,0.8177536231884058,0.8327650371667621,0.015011413978356258
fuse_gated,sider,0.5818208433990404,0.6219272002777266,0.040106356878686245
fuse_gated_e2e,tox21,0.7308845058005495,0.8234961246812095,0.09261161888065994
fuse_gated_e2e,bace,0.8043478260869565,0.8281725801792568,0.023824754092300227
fuse_gated_e2e,sider,0.603541878710945,0.6399290309882423,0.036387152277297274
fuse_gated_nograph,tox21,0.763443832621212,0.8211097573697603,0.05766592474854837
fuse_gated_nograph,bbbp,0.7049812120628192,0.9102530227061347,0.20527181064331557
fuse_gated_nograph,clintox,0.8257376707329789,0.8395355908538992,0.013797920120920293
fuse_gated_nograph,bace,0.8356884057971015,0.8481376485502894,0.012449242753187928
fuse_gated_nograph,sider,0.615673248090088,0.6244558392769649,0.008782591186876854
fuse_proposed,tox21,0.7410048537348222,0.8247876572055199,0.08378280347069778
fuse_proposed,bbbp,0.7385104538009443,0.9070664464783118,0.16855599267736754
fuse_proposed,clintox,0.8980415667466027,0.8512187576206584,-0.04682280912594439
fuse_proposed,bace,0.811231884057971,0.8572774157133676,0.0460455316553966
fuse_proposed,sider,0.6141611960109704,0.6380392922499557,0.02387809623898529
fuse_proposed_e2e,tox21,0.7176453010386701,0.8174348087308392,0.0997895076921691
fuse_proposed_e2e,bace,0.7833333333333333,0.8557550974361311,0.07242176410279777
fuse_proposed_e2e,sider,0.537014387634418,0.6308654490273545,0.09385106139293653
fuse_proposed_gpu,tox21,0.73749987394764,0.8257677886095728,0.08826791466193273
fuse_proposed_gpu,bace,0.791304347826087,0.8553127613910443,0.06400841356495723
fuse_proposed_gpu,sider,0.6042742671331621,0.6243947427414167,0.020120475608254584
fuse_seqonly,bbbp,0.7252143751806532,0.8712533300721628,0.14603895489150953
fuse_seqonly,clintox,0.8150470927605742,0.7947606129119758,-0.020286479848598438
fuse_xattn,tox21,0.7548448023955259,0.8145658331471844,0.05972103075165858
fuse_xattn,bbbp,0.7349455631563733,0.894999770861309,0.16005420770493572
fuse_xattn,clintox,0.8925954888263303,0.8369341026598788,-0.055661386166451554
fuse_xattn,bace,0.8170289855072463,0.8574898315197107,0.04046084601246436
fuse_xattn,sider,0.5970706088783552,0.5916121707107791,-0.005458438167576074
fuse_xattn_e2e,tox21,0.7346135628784648,0.8059434028490988,0.07132983997063402
fuse_xattn_e2e,bace,0.8014492753623189,0.840935878015652,0.039486602653333036
fuse_xattn_e2e,sider,0.529818045501838,0.5666633339210614,0.03684528841922341
fuse_xattn_gpu,tox21,0.7466200298656744,0.8248455777867341,0.07822554792105962
fuse_xattn_gpu,bace,0.8123188405797103,0.837436386884135,0.025117546304424754
fuse_xattn_gpu,sider,0.5539395408404215,0.5780732623034692,0.024133721463047708
gin_ref,tox21,0.7290920810835617,0.8106552202760795,0.08156313919251779
gin_ref,bbbp,0.7018980633972445,0.9059341144896585,0.20403605109241407
gin_ref,clintox,0.8699223230111562,0.8965778252598264,0.026655502248670193
gin_ref,bace,0.8036231884057972,0.83707872295955,0.03345553455375283
gin_ref,sider,0.5867904301243774,0.6222433974449373,0.035452967320559914
gin_ref_gpu,tox21,0.744501362027567,0.8110197984196951,0.06651843639212807
gin_ref_gpu,bbbp,0.7187590326621062,0.8977123794281354,0.17895334676602925
gin_ref_gpu,clintox,0.8712221527126125,0.9018039232803121,0.030581770567699618
gin_ref_gpu,bace,0.8047101449275362,0.8224927622329901,0.01778261730545383
gin_ref_gpu,sider,0.5859801600757865,0.622105180152895,0.036125020077108494
gine,tox21,0.7202383960852196,0.813586871324205,0.09334847523898548
gine,bbbp,0.6976587339820791,0.9075872040594801,0.209928470077401
gine,clintox,0.8582533972821742,0.8832523552834077,0.02499895800123353
gine,bace,0.8057971014492753,0.808250162179052,0.0024530607297766904
gine,sider,0.5241959983787842,0.5505931475096436,0.026397149130859443
gnn,tox21,0.7228955347490991,0.7997167017316967,0.07682116698259767
gnn,bbbp,0.6763657385104538,0.8958830627019843,0.21951732419153047
gnn,clintox,0.8906083828589303,0.8779328432156663,-0.012675539643263956
hybrid,tox21,0.7524854371675,0.8221923398605469,0.0697069026930468
lora,tox21,0.7108641464357808,0.7936163463459575,0.08275219991017668
lora,bace,0.7153985507246376,0.8125767998522686,0.09717824912763096
lora,sider,0.5973670652038915,0.5807706552403691,-0.016596409963522407
rf,tox21,0.7307297990070715,0.8052811764572994,0.07455137745022788
rf,bbbp,0.7161576259755275,0.8979611692761461,0.18180354330061865
rf,clintox,0.7699023389983666,0.8445553850957254,0.07465304609735879
seq_frozen,tox21,0.6986529757934696,0.7818023607264241,0.08314938493295443
seq_frozen,bace,0.7253623188405797,0.8295865945038985,0.10422427566331882
seq_frozen,sider,0.5756844306655897,0.5826270152593722,0.006942584593782497
trf,tox21,0.7016140940423786,0.7699019307790502,0.0682878367366716
