dataset,variant,arm,metric,value,n_tasks,n_features
freesolv,seed0,desc+motif,rmse,1.327257553855561,1,1238
freesolv,seed1,desc,rmse,1.0731117123691611,1,1206
freesolv,seed1,motif,rmse,3.3481160329693758,1,36
freesolv,seed1,desc+motif,rmse,0.9463128771312863,1,1242
freesolv,seed2,desc,rmse,0.9853743393008545,1,1207
freesolv,seed2,motif,rmse,3.3968133217536027,1,35
freesolv,seed2,desc+motif,rmse,0.9972321164179172,1,1242
freesolv,seed3,desc,rmse,1.2582462572480704,1,1207
freesolv,seed3,motif,rmse,2.9862610968852303,1,35
freesolv,seed3,desc+motif,rmse,1.2423459971774282,1,1242
freesolv,seed4,desc,rmse,0.46555221124344476,1,1204
freesolv,seed4,motif,rmse,2.9422693168591834,1,32
freesolv,seed4,desc+motif,rmse,0.4861619344581731,1,1236
