tag,dataset,n_splits,protocol,n_tasks,ece_raw,ece_raw_ci,ece_cal,ece_cal_ci,delta,delta_ci,helps,hurts
attentivefp,clintox,5,valid-fit,2,0.0691091155508362,0.0447437274673535,0.0635730283055646,0.0408644611893775,-0.0055360872452716,0.0063913712743523,False,False
attentivefp,bace,5,valid-fit,1,0.1118571745773689,0.0337030438605303,0.1093462682670268,0.016075052138225,-0.0025109063103421,0.0280235223474196,False,False
attentivefp,sider,5,valid-fit,27,0.172697080961311,0.0115620390932146,0.1671846710678768,0.0186986706028117,-0.0055124098934341,0.0074578813029904,False,False
chemprop,tox21,5,valid-fit,12,0.0271161380685947,0.0017393536159187,0.0272608443932578,0.0017850193438253,0.0001447063246631,0.0009129276595429,False,False
chemprop,bbbp,5,valid-fit,1,0.0652044632141658,0.0189372502642084,0.0673779434799219,0.0140248963580985,0.002173480265756,0.0106906377100475,False,False
chemprop,clintox,5,valid-fit,2,0.0561498837737685,0.0180581249817986,0.0602527085799606,0.0246429050052412,0.0041028248061921,0.0125482890375238,False,False
chemprop,bace,5,valid-fit,1,0.1164572128923684,0.0195465651249887,0.1119286065275874,0.0280094412712455,-0.0045286063647809,0.0272428587147683,False,False
chemprop,sider,5,valid-fit,27,0.1061364650709001,0.0037280971830775,0.1127625177023825,0.0058949850316499,0.0066260526314823,0.0054691984300003,False,True
rf,tox21,5,valid-fit,12,0.027903872076555,0.0025562011608806,0.0284207236673612,0.002961797171392,0.0005168515908062,0.0020141429178646,False,False
rf,bbbp,5,valid-fit,1,0.0875292706489563,0.0265610965815376,0.0680995599234976,0.0286066134113879,-0.0194297107254586,0.0208159167910902,False,False
rf,clintox,5,valid-fit,2,0.0646014292095158,0.0107678575068319,0.062826719880104,0.0094000139752003,-0.0017747093294117,0.0015726352189054,True,False
gnn,tox21,5,valid-fit,12,0.0620049606580924,0.0155417009984929,0.0507970724523989,0.0075539554278736,-0.0112078882056934,0.01008524548636,True,False
gnn,bbbp,5,valid-fit,1,0.0954594673761507,0.0485566187464347,0.0855857261215768,0.0226699214750515,-0.0098737412545739,0.0469334391888974,False,False
gnn,clintox,5,valid-fit,2,0.0680372474966822,0.0440917778153193,0.056641822570079,0.0241544567972902,-0.0113954249266031,0.0203738410607569,False,False
trf,tox21,5,valid-fit,12,0.0327989777169644,0.0056884557959764,0.0341167577302646,0.0065667816232262,0.0013177800133001,0.001664570519714,False,False
hybrid,tox21,5,valid-fit,12,0.0914446025079297,0.0147569273074999,0.0589209804874985,0.00923238905471,-0.0325236220204311,0.0100831733922816,True,False
ens,tox21,5,valid-fit,12,0.0816723396786391,0.0112990708362453,0.0504281011556043,0.0066360692492678,-0.0312442385230347,0.0127514894776028,True,False
fuse_gated,clintox,5,valid-fit,2,0.065448940024838,0.0269087127233346,0.0560799195292875,0.0201761126768635,-0.0093690204955504,0.0173907040191532,False,False
fuse_gated,bbbp,5,valid-fit,1,0.0719890184638526,0.0406046090524801,0.0710694859740481,0.0327537167510419,-0.0009195324898045,0.0439684039128813,False,False
fuse_gated_nograph,clintox,5,valid-fit,2,0.0717090074601129,0.046785857870396,0.0576725367445948,0.0264435315785389,-0.014036470715518,0.0516076025057961,False,False
fuse_gated_nograph,bbbp,5,valid-fit,1,0.0710464142404308,0.0199724947068653,0.0634299930213675,0.0209359549455466,-0.0076164212190632,0.0171716647231406,False,False
