dataset,model,oof_auc,oof_ap,oof_acc,oof_bal_acc,oof_f1,oof_n_tasks_scored,val_auc,val_ap,val_acc,val_bal_acc,val_f1,val_n_tasks_scored,test_auc,test_ap,test_acc,test_bal_acc,test_f1,test_n_tasks_scored,oof_rmse,oof_mae,oof_r2,oof_rmse_norm,oof_mae_norm,oof_n_scored,val_rmse,val_mae,val_r2,val_rmse_norm,val_mae_norm,val_n_scored,test_rmse,test_mae,test_r2,test_rmse_norm,test_mae_norm,test_n_scored
clintox,rf,0.8270217330825476,0.6790769910155166,0.8205236486486487,0.7596989210569287,0.6389440774237586,2.0,0.7298621894409938,0.6320628014435593,0.875,0.735351966873706,0.6110219368646335,2.0,0.8918090062111801,0.6340179716859325,0.8716216216216217,0.8326475155279502,0.6805820610687023,2.0,,,,,,,,,,,,,,,,,,
clintox,gnn,0.8776046234081457,0.699360648097922,0.7331081081081081,0.7993978824331054,0.5924205866879524,2.0,0.8926598084886128,0.7743521716512616,0.6689189189189189,0.7938276397515528,0.5522790697674419,2.0,0.935746635610766,0.8417108204861783,0.8243243243243243,0.8829451345755693,0.6335501675537157,2.0,,,,,,,,,,,,,,,,,,
clintox,trf,0.9761666311353296,0.9368132061722585,0.9480574324324325,0.9128644356010894,0.8492815229925408,2.0,0.8890722049689441,0.8267112446848354,0.7533783783783783,0.7927665631469979,0.576592082616179,2.0,0.9813535196687371,0.9111294906189272,0.8513513513513513,0.8975155279503105,0.6653491436100132,2.0,,,,,,,,,,,,,,,,,,
clintox,hybrid,0.9616666011478889,0.9302699218241028,0.9679054054054055,0.9046609806447451,0.8921937790716071,2.0,0.946965579710145,0.8623112587251738,0.8986486486486487,0.8175207039337473,0.7074074074074075,2.0,0.9735507246376811,0.9268115942028985,0.9189189189189189,0.9104296066252587,0.7554159723112421,2.0,,,,,,,,,,,,,,,,,,
clintox,ens,0.9761666311353296,0.9368132061722585,0.9480574324324325,0.9128644356010894,0.8492815229925408,2.0,0.8890722049689441,0.8267112446848354,0.7533783783783783,0.7927665631469979,0.576592082616179,2.0,0.9813535196687371,0.9111294906189272,0.8513513513513513,0.8975155279503105,0.6653491436100132,2.0,,,,,,,,,,,,,,,,,,
esol,rf,,,,,,,,,,,,,,,,,,,1.5950170678357043,1.266236589780072,0.30817105655932286,0.7717610188940591,0.6126781088403171,902.0,1.150762205110361,0.8526376073044767,0.6533252467963391,0.5568049582853912,0.41255512673202105,112.0,2.2768364234017273,1.8046086308167641,0.40333064763693594,1.1016644482456541,0.8731734748857357,114.0
esol,gnn,,,,,,,,,,,,,,,,,,,0.9619502383908124,0.7512058265334365,0.7483637114191264,0.465446866417073,0.3634765958155355,902.0,1.1326315940214333,0.9025721356679904,0.6641631257217538,0.548032325584884,0.4367163242921898,112.0,1.083107010142222,0.8332963400306516,0.8649754297296025,0.5240694827503638,0.40319670892010134,114.0
esol,trf,,,,,,,,,,,,,,,,,,,1.400828282881517,1.093635760515031,0.4663729193910461,0.6778013130349868,0.5291638979006831,902.0,1.3356994690259076,0.9462816739710619,0.5329444445872331,0.6462882460251331,0.45786551353687954,112.0,1.6887481360671375,1.4063532526155391,0.6717537027885752,0.8171135020611989,0.6804746112443114,114.0
esol,hybrid,,,,,,,,,,,,,,,,,,,0.9365162963935362,0.7286285554563141,0.7614943147117631,0.4531404620618237,0.3525524131959911,902.0,1.018824182694741,0.8151574610148292,0.7282625315812619,0.49296575263443676,0.39442007572090787,112.0,1.029535774177808,0.7707783333889714,0.8780019316344619,0.4981486368327644,0.3729469006403202,114.0
esol,ens,,,,,,,,,,,,,,,,,,,0.9481956037010388,0.7403291521938219,0.7555084056270136,0.4587915828487916,0.3582138350339784,902.0,1.0458558005062257,0.836860950793664,0.7136516701683342,0.5060452044630331,0.4049214726796241,112.0,1.0336364450172806,0.775298388754115,0.8770281525065128,0.5001327772968629,0.37513396346516775,114.0
lipophilicity,rf,,,,,,,,,,,,,,,,,,,0.9479180015130482,0.7421562304717733,0.36171017089787605,0.7827610463503794,0.6128494095399263,3360.0,0.88861741467073,0.6876704836206468,0.3907716171059721,0.7337924759341695,0.5678567834390464,420.0,1.092974806460327,0.8504433846318498,0.354962988029329,0.9025444202704198,0.70226955554554,420.0
lipophilicity,gnn,,,,,,,,,,,,,,,,,,,0.8629584473573714,0.6756789715866192,0.4709994164051674,0.7126041030259479,0.5579545677494024,3360.0,0.9619929810038775,0.5997812848603761,0.28600643993954833,0.7943837243204317,0.4952806312036479,420.0,0.8649324507561543,0.6414110685995659,0.5960489745139754,0.714234173309943,0.5296572049442191,420.0
lipophilicity,trf,,,,,,,,,,,,,,,,,,,1.0596203546913143,0.8293559259353236,0.20241501970577425,0.8750013569194952,0.6848561915121363,3360.0,1.0955323337680993,0.8475692646687688,0.07402153229146824,0.9046563463529564,0.6998961971474014,420.0,1.0780858189893814,0.8758592902076202,0.3724172482996547,0.8902495599626163,0.7232572156708643,420.0
lipophilicity,hybrid,,,,,,,,,,,,,,,,,,,0.8005168305459971,0.6211130019447153,0.5447842110936685,0.6610417682743507,0.512895696176288,3360.0,0.8463453300416053,0.5616266050352783,0.44735570333921515,0.6988855102020181,0.46377368961652143,420.0,0.7886702425941113,0.6127590667141387,0.6641423525012757,0.6512592263602838,0.5059972776719536,420.0
lipophilicity,ens,,,,,,,,,,,,,,,,,,,0.8016429804194535,0.6221988661506198,0.5435025346321354,0.6619717076276355,0.5137923688849523,3360.0,0.8463453300416053,0.5616266050352783,0.44735570333921515,0.6988855102020181,0.46377368961652143,420.0,0.7886702425941113,0.6127590667141387,0.6641423525012757,0.6512592263602838,0.5059972776719536,420.0
